ticker,price,cost_pct,req_winrate,turnover_med_rm,rows
7160.KL,5.09,0.52,0.526,5515608,2848
0208.KL,2.55,0.716,0.539,6584314,1767
5183.KL,4.3,0.557,0.547,18690724,2849
0166.KL,2.61,0.707,0.548,25170539,2847
6742.KL,5.75,0.498,0.548,36124099,2849
5681.KL,20.38,0.422,0.564,7413610,2849
0128.KL,4.95,0.526,0.566,13944277,2829
4677.KL,2.4,0.741,0.568,31527595,2848
5246.KL,6.87,0.47,0.578,15579564,2844
8869.KL,7.97,0.449,0.578,43572524,2836
5168.KL,0.955,0.848,0.588,10259082,2849
5398.KL,4.67,0.538,0.59,71754736,2846
1023.KL,7.99,0.449,0.591,109636114,2849
4065.KL,9.96,0.424,0.594,5938053,2849
